Author,Name,Format,Price,Rating,Url
Михаил Булгаков,Собачье сердце,аудиокнига,249.0,18.0,https://www.litres.ru/audiobook/mihail-bulgakov/sobache-serdce-6569499/
Михаил Булгаков,Зойкина квартира,аудиокнига,149.0,6.0,https://www.litres.ru/audiobook/mihail-bulgakov/zoykina-kvartira-66172906/
Михаил Булгаков,Белая гвардия (Иллюстрированное издание),текст,119.0,4.2,https://www.litres.ru/book/mihail-bulgakov/belaya-gvardiya-illustrirovannoe-izdanie-24435002/
Андрей Леонидович Булгаков; Анна Валентиновна Алешина,Обществознание. 10 класс. Базовый уровень. (Общее образование).Учебник.,текст,899.0,1.0,https://www.litres.ru/book/andrey-leonidovich-b/obschestvoznanie-10-klass-bazovyy-uroven-obschee-obra-66270316/
Михаил Булгаков,Жизнь господина де Мольера,аудиокнига,229.0,29.0,https://www.litres.ru/audiobook/mihail-bulgakov/zhizn-gospodina-de-molera-9302617/
Олег Шишкин,Биография Воланда,текст,349.0,2.9,https://www.litres.ru/book/oleg-shishkin/biografiya-volanda-42568632/
Альфред Барков,Метла Маргариты. Ключи к роману Булгакова,текст,229.0,4.4,https://www.litres.ru/book/alfred-barkov/metla-margarity-kluchi-k-romanu-bulgakova-18397907/
Алан Чароит,Ветер Дивнозёрья,аудиокнига,249.0,13.0,https://www.litres.ru/audiobook/alan-charoit/veter-divnozerya-67950657/
Элис Виртшалфтер,От победы к миру. Русская дипломатия после Наполеона,текст,399.0,0.0,https://www.litres.ru/book/elis-virtshalfter/ot-pobedy-k-miru-russkaya-diplomatiya-posle-napoleona-69503989/
Михаил Булгаков,Багровый остров,аудиокнига,253.0,1.0,https://www.litres.ru/audiobook/mihail-bulgakov/bagrovyy-ostrov-24871015/
Михаил Булгаков,Белая гвардия. Михаил Булгаков как исторический писатель,текст,399.0,1.0,https://www.litres.ru/book/mihail-bulgakov/belaya-gvardiya-mihail-bulgakov-kak-istoricheskiy-pisatel-50401852/
Михаил Булгаков; Юрий Казаков,Русская проза ХХ века,аудиокнига,150.0,4.0,https://www.litres.ru/audiobook/mihail-bulgakov/russkaya-proza-hh-veka-57208221/
А. Г. Булгаков; В. А. Воробьев,"Промышленные роботы. Кинематика, динамика, контроль и управление",текст,399.0,1.0,https://www.litres.ru/book/aleksey-bulgakov/promyshlennye-roboty-kinematika-dinamika-kontrol-i-upravl-8341472/
Михаил Булгаков; Александр Пушкин,50 Stories from Russia’s Greatest Authors,аудиокнига,249.0,0.0,https://www.litres.ru/audiobook/mihail-bulgakov/50-stories-from-russia-s-greatest-authors-55339186/
